dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total,size,size_bytes,s3_item_count,DatasetID,Type Subject,10-20 system,modality of exp,type of exp,record_modality
ds004024,497,13,3,64,20000,55.503,1021.22 GB,1096522006089,0,ds004024,Healthy,10-20,Visual,Clinical/Intervention,"EEG, MRI"
ds005815,137,26,4,30,"1000,500",38.618,9.91 GB,10642000219,0,,Other,,Multisensory,Perception,EEG
ds005429,61,15,3,64,"2500,5000",14.474,16.47 GB,17685373747,0,,Other,,Auditory,Attention,EEG
ds003702,47,47,1,61,500,0.0,60.93 GB,65421860496,0,ds003702,Healthy,10-20,Visual,Memory,EEG
ds004577,130,103,1,"19,21,24",200,22.974,652.76 MB,684471843,0,ds004577,Healthy,10-20,Sleep,Clinical/Intervention,EEG
ds003574,18,18,1,64,500,0.0,14.79 GB,15876358782,0,ds003574,Healthy,10-20,Visual,Affect,"MRI, EEG"
ds005779,250,19,16,"64,67,70",5000,16.65,88.67 GB,95206991747,0,,Healthy,,Multisensory,Clinical/Intervention,EEG
ds005185,356,20,3,8,500,0.0,783.25 GB,841005525524,0,,Other,,Sleep,Sleep,EEG
ds001787,40,24,1,64,256,27.607,5.69 GB,6112379157,0,ds001787,Healthy,10-20,Auditory,Attention,EEG
ds003505,37,19,2,128,2048,0.0,90.13 GB,96777780296,0,ds003505,Healthy,10-20,Visual,Perception,"EEG, MRI"
ds005340,15,15,1,2,10000,35.297,19.14 GB,20556600898,0,,Other,,,Perception,EEG
ds005363,43,43,1,64,1000,43.085,17.71 GB,19011101429,0,,Other,,Visual,Memory,EEG
ds005121,39,34,1,58,512,41.498,9.04 GB,9711092185,0,ds005121,Healthy,,Sleep,Memory,EEG
ds004256,53,53,2,64,500,42.337,18.18 GB,19516271706,0,,Healthy,,Auditory,Memory,EEG
ds005420,72,37,2,20,500,5.485,372.11 MB,390189484,0,,Healthy,,Resting State,Resting state,EEG
ds002034,167,14,4,64,512,37.248,10.10 GB,10842685551,0,ds002034,Healthy,10-20,Visual,Attention,EEG
ds003825,50,50,1,"63,128",1000,0.0,55.34 GB,59421076202,0,ds003825,Healthy,10-20,Visual,Perception,EEG
ds004587,114,103,1,59,10000,25.491,219.34 GB,235517890780,0,ds004587,Healthy,,Visual,Decision-making,EEG
ds004598,20,9,1,,10000,0.0,26.66 GB,28629940214,0,,Other,,,Other,EEG
ds005383,240,30,1,30,200,8.327,17.43 GB,18712238212,0,,Healthy,,,Perception,EEG
